mm10	mm10 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000108366.1	other	ENSG00000214268.2	other	many-to-many
ENSMUSG00000068889.1	pc	ENSG00000172155.9	pc	many-to-many
ENSMUSG00000103081.2	other	ENSG00000262209.2	pc	many-to-many
ENSMUSG00000008398.15	pc	ENSG00000111145.7	pc	one-to-one
ENSMUSG00000092541.7	pc	ENSG00000135316.17	pc	many-to-many
ENSMUSG00000093514.3	lncRNA	ENSG00000242634.1	other	many-to-many
ENSMUSG00000095432.9	pc	ENSG00000256771.3	pc	many-to-many
ENSMUSG00000031788.14	pc	ENSG00000274816.1	ncRNA	one-to-many
ENSMUSG00000106362.1	ncRNA	ENSG00000173209.22	pc	one-to-many
ENSMUSG00000045202.6	pc	ENSG00000213911.2	other	one-to-many
ENSMUSG00000099101.1	ncRNA	ENSG00000160606.10	pc	one-to-many
ENSMUSG00000027296.7	pc	ENSG00000137825.10	pc	one-to-one
ENSMUSG00000036246.14	pc	ENSG00000089639.10	pc	one-to-one
ENSMUSG00000021258.10	pc	ENSG00000090061.17	pc	one-to-one
ENSMUSG00000103332.1	pc	ENSG00000276547.1	pc	many-to-many
ENSMUSG00000001829.17	pc	ENSG00000162129.12	pc	one-to-many
ENSMUSG00000004460.16	pc	ENSG00000090520.11	pc	many-to-many
ENSMUSG00000083240.3	other	ENSG00000224662.2	other	many-to-many
ENSMUSG00000048164.8	other	ENSG00000214121.4	other	one-to-many
ENSMUSG00000094197.1	pc	ENSG00000166408.4	other	one-to-many
ENSMUSG00000028066.15	pc	ENSG00000260238.6	pc	many-to-many
ENSMUSG00000102422.1	pc	ENSG00000283154.2	pc	many-to-many
ENSMUSG00000011158.8	pc	ENSG00000185024.16	pc	one-to-one
ENSMUSG00000086477.2	lncRNA	ENSG00000179240.9	pc	many-to-many
ENSMUSG00000081555.1	other	ENSG00000163918.10	pc	one-to-many
ENSMUSG00000082573.1	other	ENSG00000241352.3	other	one-to-many
ENSMUSG00000021609.6	pc	ENSG00000142319.17	pc	one-to-one
ENSMUSG00000001173.15	pc	ENSG00000122126.15	pc	one-to-one
ENSMUSG00000047674.2	pc	ENSG00000163114.5	pc	one-to-one
ENSMUSG00000046671.18	pc	ENSG00000117640.17	pc	many-to-many
ENSMUSG00000072647.5	pc	ENSG00000089022.13	pc	many-to-many
ENSMUSG00000099703.6	pc	ENSG00000015479.18	pc	many-to-many
ENSMUSG00000054727.2	pc	ENSG00000261272.1	pc	many-to-many
ENSMUSG00000024224.4	pc	ENSG00000196748.9	pc	one-to-one
ENSMUSG00000106388.1	other	ENSG00000234493.3	other	one-to-many
ENSMUSG00000044966.4	pc	ENSG00000204923.3	pc	one-to-one
ENSMUSG00000083481.4	other	ENSG00000225200.2	other	many-to-many
ENSMUSG00000106864.3	pc	ENSG00000115207.13	pc	many-to-many
ENSMUSG00000110057.1	other	ENSG00000218472.2	other	many-to-many
ENSMUSG00000024539.17	pc	ENSG00000224117.1	other	one-to-many
ENSMUSG00000027551.15	pc	ENSG00000258491.2	other	one-to-many
ENSMUSG00000070473.4	pc	ENSG00000165215.6	pc	one-to-one
ENSMUSG00000104532.1	other	ENSG00000253497.1	other	one-to-many
ENSMUSG00000062543.8	other	ENSG00000167914.11	pc	one-to-many
ENSMUSG00000020358.17	pc	ENSG00000255734.1	other	one-to-many
ENSMUSG00000038690.15	pc	ENSG00000106246.17	pc	many-to-many
ENSMUSG00000072789.4	other	ENSG00000197149.5	other	many-to-many
ENSMUSG00000074785.5	pc	ENSG00000136040.8	pc	one-to-many
ENSMUSG00000025290.17	pc	ENSG00000138326.18	pc	one-to-one
ENSMUSG00000091752.2	other	ENSG00000164104.11	pc	one-to-many
ENSMUSG00000049094.7	other	ENSG00000171501.9	pc	one-to-many
ENSMUSG00000041895.15	pc	ENSG00000207561.1	ncRNA	one-to-many
ENSMUSG00000105798.1	other	ENSG00000249286.1	other	many-to-many
ENSMUSG00000094010.1	pc	ENSG00000178201.4	pc	many-to-many
ENSMUSG00000019470.12	pc	ENSG00000076924.11	pc	one-to-one
ENSMUSG00000045658.16	pc	ENSG00000153823.18	pc	one-to-one
ENSMUSG00000087892.1	ncRNA	ENSG00000212461.1	ncRNA	one-to-many
ENSMUSG00000028031.6	pc	ENSG00000155011.8	pc	one-to-many
ENSMUSG00000046334.4	other	ENSG00000218261.1	other	many-to-many
ENSMUSG00000085812.1	other	ENSG00000226084.5	other	one-to-many
ENSMUSG00000107079.1	other	ENSG00000236992.2	other	one-to-many
ENSMUSG00000083544.1	other	ENSG00000234792.1	other	many-to-many
ENSMUSG00000082686.1	other	ENSG00000214653.4	other	one-to-many
ENSMUSG00000090277.1	other	ENSG00000213553.4	other	one-to-many
ENSMUSG00000089775.1	other	ENSG00000101544.8	pc	one-to-many
ENSMUSG00000001930.17	pc	ENSG00000110799.13	pc	many-to-many
ENSMUSG00000030878.11	pc	ENSG00000140743.7	pc	one-to-many
ENSMUSG00000096436.3	pc	ENSG00000176495.3	pc	one-to-many
ENSMUSG00000088740.1	ncRNA	ENSG00000233016.6	lncRNA	many-to-many
ENSMUSG00000111606.1	other	ENSG00000244457.2	other	many-to-many
ENSMUSG00000062687.6	pc	ENSG00000268942.2	other	many-to-many
ENSMUSG00000111415.1	lncRNA	ENSG00000254740.2	lncRNA	many-to-many
ENSMUSG00000070462.4	pc	ENSG00000140406.3	pc	one-to-one
ENSMUSG00000114358.1	other	ENSG00000219941.1	other	many-to-many
ENSMUSG00000024491.15	pc	ENSG00000275740.1	pc	many-to-many
ENSMUSG00000031314.18	pc	ENSG00000122728.6	pc	one-to-many
ENSMUSG00000111573.1	other	ENSG00000213181.3	other	one-to-many
ENSMUSG00000101201.1	other	ENSG00000186787.8	pc	one-to-many
ENSMUSG00000043631.8	pc	ENSG00000224963.3	other	one-to-many
ENSMUSG00000098138.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000044349.15	pc	ENSG00000274309.1	ncRNA	many-to-many
ENSMUSG00000079168.4	pc	ENSG00000090659.17	pc	one-to-many
ENSMUSG00000080933.4	pc	ENSG00000131721.5	pc	many-to-many
ENSMUSG00000026955.13	pc	ENSG00000232491.1	other	one-to-many
ENSMUSG00000107191.1	lncRNA	ENSG00000186710.11	pc	one-to-many
ENSMUSG00000001166.17	pc	ENSG00000089127.12	pc	one-to-many
ENSMUSG00000082062.1	other	ENSG00000214020.3	other	many-to-many
ENSMUSG00000083688.1	other	ENSG00000258090.1	other	many-to-many
ENSMUSG00000070871.10	pc	ENSG00000204149.10	pc	many-to-many
ENSMUSG00000035790.15	pc	ENSG00000231032.1	other	one-to-many
ENSMUSG00000092009.1	pc	ENSG00000144821.9	pc	one-to-one
ENSMUSG00000055725.11	pc	ENSG00000163291.14	pc	one-to-one
ENSMUSG00000071937.4	pc	ENSG00000214607.2	other	one-to-many
ENSMUSG00000022237.17	pc	ENSG00000254714.1	other	many-to-many
ENSMUSG00000066896.6	pc	ENSG00000234896.1	other	many-to-many
ENSMUSG00000037085.8	pc	ENSG00000183665.5	pc	one-to-many
ENSMUSG00000109809.1	lncRNA	ENSG00000187944.2	pc	one-to-one
ENSMUSG00000084240.1	other	ENSG00000185585.19	pc	one-to-many
ENSMUSG00000021741.4	other	ENSG00000254373.1	other	many-to-many
ENSMUSG00000029848.11	pc	ENSG00000146857.3	pc	one-to-one
ENSMUSG00000065853.1	ncRNA	ENSG00000271982.1	ncRNA	many-to-many
ENSMUSG00000072714.2	other	ENSG00000220842.6	other	one-to-many
ENSMUSG00000052364.4	pc	ENSG00000145743.15	pc	one-to-many
ENSMUSG00000062822.8	pc	ENSG00000172244.8	pc	one-to-one
ENSMUSG00000040428.19	pc	ENSG00000105559.11	pc	one-to-one
ENSMUSG00000075046.7	pc	ENSG00000224807.5	other	one-to-many
ENSMUSG00000094240.1	other	ENSG00000188460.4	other	one-to-many
ENSMUSG00000061983.7	pc	ENSG00000112306.7	pc	many-to-many
ENSMUSG00000024608.10	pc	ENSG00000164587.11	pc	one-to-one
ENSMUSG00000109252.1	other	ENSG00000134376.15	pc	one-to-many
ENSMUSG00000024191.14	pc	ENSG00000113734.17	pc	one-to-one
ENSMUSG00000030972.6	pc	ENSG00000230926.1	other	many-to-many
ENSMUSG00000044252.17	pc	ENSG00000141447.17	pc	many-to-many
ENSMUSG00000057697.2	pc	ENSG00000233121.1	other	one-to-many
ENSMUSG00000028063.15	pc	ENSG00000160789.19	pc	one-to-many
ENSMUSG00000103863.2	other	ENSG00000226949.1	other	one-to-many
ENSMUSG00000112017.1	other	ENSG00000087299.11	pc	one-to-many
ENSMUSG00000049969.3	pc	ENSG00000175895.3	pc	one-to-many
ENSMUSG00000028998.6	pc	ENSG00000196683.10	pc	one-to-one
ENSMUSG00000077304.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000112614.1	other	ENSG00000266619.1	ncRNA	many-to-many
ENSMUSG00000020620.14	pc	ENSG00000154263.17	pc	many-to-many
ENSMUSG00000083486.1	other	ENSG00000255262.3	other	one-to-many
ENSMUSG00000022999.14	pc	ENSG00000139636.15	pc	one-to-one
ENSMUSG00000083224.1	other	ENSG00000254598.2	pc	one-to-many
ENSMUSG00000067615.3	pc	ENSG00000205426.10	pc	many-to-many
ENSMUSG00000057615.5	pc	ENSG00000182195.7	pc	one-to-many
ENSMUSG00000106453.1	other	ENSG00000282989.1	other	one-to-many
ENSMUSG00000031139.15	pc	ENSG00000053524.12	pc	many-to-many
ENSMUSG00000019146.2	pc	ENSG00000166862.6	pc	one-to-many
ENSMUSG00000113205.1	other	ENSG00000151693.10	pc	one-to-many
ENSMUSG00000038762.15	pc	ENSG00000204574.12	pc	one-to-many
ENSMUSG00000090121.10	pc	ENSG00000131969.14	pc	one-to-one
ENSMUSG00000100404.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000073876.3	pc	ENSG00000137070.17	pc	many-to-many
ENSMUSG00000104261.1	other	ENSG00000143612.19	pc	one-to-many
ENSMUSG00000089868.1	other	ENSG00000239872.1	other	one-to-many
ENSMUSG00000078240.2	pc	ENSG00000242945.2	other	many-to-many
ENSMUSG00000065922.1	ncRNA	ENSG00000278189.1	ncRNA	many-to-many
ENSMUSG00000037736.18	pc	ENSG00000064042.17	pc	one-to-one
ENSMUSG00000097772.7	lncRNA	ENSG00000251022.6	lncRNA	many-to-many
ENSMUSG00000047417.17	pc	ENSG00000270971.2	other	many-to-many
ENSMUSG00000114338.1	other	ENSG00000236552.2	other	one-to-many
ENSMUSG00000028333.10	pc	ENSG00000136938.8	pc	one-to-one
ENSMUSG00000073422.10	pc	ENSG00000204228.3	pc	one-to-many
ENSMUSG00000052337.15	pc	ENSG00000132305.20	pc	many-to-many
ENSMUSG00000082062.1	other	ENSG00000270301.1	other	many-to-many
ENSMUSG00000087119.4	pc	ENSG00000101844.17	pc	many-to-many
ENSMUSG00000087385.8	pc	ENSG00000249435.1	other	many-to-many
ENSMUSG00000092298.1	other	ENSG00000204592.8	pc	many-to-many
ENSMUSG00000113149.1	pc	ENSG00000165502.6	pc	many-to-many
ENSMUSG00000045566.1	pc	ENSG00000184148.3	pc	one-to-one
ENSMUSG00000078554.2	pc	ENSG00000225828.1	pc	one-to-one
ENSMUSG00000084996.1	lncRNA	ENSG00000264990.1	lncRNA	one-to-one
ENSMUSG00000043262.16	pc	ENSG00000151116.16	pc	one-to-one
ENSMUSG00000084874.4	other	ENSG00000232195.1	other	many-to-many
ENSMUSG00000030858.10	pc	ENSG00000213185.6	pc	many-to-many
ENSMUSG00000114328.1	other	ENSG00000257446.3	pc	one-to-many
ENSMUSG00000034071.15	pc	ENSG00000188785.11	pc	many-to-many
ENSMUSG00000051663.4	pc	ENSG00000171815.5	pc	one-to-one
ENSMUSG00000061232.15	pc	ENSG00000230795.3	other	many-to-many
ENSMUSG00000088323.1	ncRNA	ENSG00000238754.1	ncRNA	many-to-many
ENSMUSG00000092577.1	other	ENSG00000242071.3	other	one-to-many
ENSMUSG00000105375.1	other	ENSG00000102921.7	pc	one-to-many
ENSMUSG00000001768.15	pc	ENSG00000132669.12	pc	one-to-one
ENSMUSG00000036169.6	pc	ENSG00000171243.7	pc	one-to-one
ENSMUSG00000022816.11	pc	ENSG00000284121.1	ncRNA	one-to-many
ENSMUSG00000096090.1	ncRNA	ENSG00000199704.1	ncRNA	one-to-many
ENSMUSG00000077647.1	ncRNA	ENSG00000281808.1	ncRNA	many-to-many
ENSMUSG00000065847.1	ncRNA	ENSG00000166012.16	pc	many-to-many
ENSMUSG00000108793.1	pc	ENSG00000140479.16	pc	many-to-many
ENSMUSG00000110644.1	other	ENSG00000183434.9	pc	one-to-many
ENSMUSG00000037924.6	pc	ENSG00000184155.8	pc	one-to-many
ENSMUSG00000015365.15	pc	ENSG00000073146.15	pc	one-to-many
ENSMUSG00000042282.4	pc	ENSG00000101890.4	pc	one-to-many
ENSMUSG00000030745.9	pc	ENSG00000103522.15	pc	one-to-one
ENSMUSG00000075610.9	pc	ENSG00000258671.2	other	many-to-many
ENSMUSG00000103641.1	other	ENSG00000249264.1	other	one-to-many
ENSMUSG00000067995.4	pc	ENSG00000188342.11	pc	one-to-one
ENSMUSG00000028224.14	pc	ENSG00000104320.13	pc	one-to-one
ENSMUSG00000080776.1	other	ENSG00000227525.4	other	many-to-many
ENSMUSG00000079317.10	pc	ENSG00000232914.1	other	one-to-many
ENSMUSG00000105732.1	other	ENSG00000198203.9	pc	one-to-many
ENSMUSG00000022354.4	pc	ENSG00000271045.1	other	many-to-many
ENSMUSG00000002055.9	pc	ENSG00000076382.16	pc	many-to-many
ENSMUSG00000053815.5	pc	ENSG00000283137.1	other	many-to-many
ENSMUSG00000037708.16	pc	ENSG00000077327.15	pc	one-to-many
ENSMUSG00000074483.2	pc	ENSG00000260238.6	pc	many-to-many
ENSMUSG00000003464.13	pc	ENSG00000162735.18	pc	many-to-many
ENSMUSG00000015804.14	pc	ENSG00000240511.1	other	many-to-many
ENSMUSG00000069189.5	pc	ENSG00000206077.10	pc	many-to-many
ENSMUSG00000101837.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000028591.11	pc	ENSG00000204510.5	pc	many-to-many
ENSMUSG00000065738.1	ncRNA	ENSG00000240751.1	other	many-to-many
ENSMUSG00000057000.12	pc	ENSG00000196970.8	other	many-to-many
ENSMUSG00000105005.1	other	ENSG00000138071.13	pc	one-to-many
ENSMUSG00000058297.16	pc	ENSG00000107742.12	pc	one-to-one
ENSMUSG00000094898.2	pc	ENSG00000220581.1	other	one-to-many
ENSMUSG00000114798.1	other	ENSG00000259586.1	other	one-to-many
ENSMUSG00000103814.1	other	ENSG00000079999.13	pc	one-to-many
ENSMUSG00000077244.1	ncRNA	ENSG00000212461.1	ncRNA	one-to-many
ENSMUSG00000114335.1	other	ENSG00000140319.10	pc	many-to-many
ENSMUSG00000036371.6	pc	ENSG00000235756.2	other	many-to-many
ENSMUSG00000031826.20	pc	ENSG00000215268.3	other	many-to-many
ENSMUSG00000067399.10	pc	ENSG00000219061.4	other	many-to-many
ENSMUSG00000072809.2	lncRNA	ENSG00000279152.1	lncRNA	one-to-one
ENSMUSG00000064442.1	ncRNA	ENSG00000284450.1	ncRNA	many-to-many
ENSMUSG00000026049.11	pc	ENSG00000151287.16	pc	one-to-many
ENSMUSG00000104393.1	other	ENSG00000253545.1	other	one-to-many
ENSMUSG00000060591.9	pc	ENSG00000142089.15	pc	many-to-many
ENSMUSG00000080566.1	ncRNA	ENSG00000221340.1	ncRNA	one-to-many
ENSMUSG00000020926.16	pc	ENSG00000073670.13	pc	one-to-one
ENSMUSG00000029672.16	pc	ENSG00000196937.10	pc	one-to-many
ENSMUSG00000074401.2	pc	ENSG00000268163.1	pc	many-to-many
ENSMUSG00000029387.10	pc	ENSG00000278861.1	lncRNA	one-to-many
ENSMUSG00000031134.16	pc	ENSG00000213516.9	pc	many-to-many
ENSMUSG00000081306.1	other	ENSG00000224219.1	other	one-to-many
ENSMUSG00000044065.3	other	ENSG00000224129.1	other	many-to-many
ENSMUSG00000038046.4	pc	ENSG00000171861.10	pc	one-to-many
ENSMUSG00000039013.16	pc	ENSG00000105366.15	pc	many-to-many
ENSMUSG00000100133.1	pc	ENSG00000153779.10	pc	one-to-many
ENSMUSG00000022237.17	pc	ENSG00000254916.1	other	many-to-many
ENSMUSG00000059303.6	pc	ENSG00000170923.3	pc	one-to-many
ENSMUSG00000021990.15	pc	ENSG00000182957.15	pc	many-to-many
ENSMUSG00000031029.6	pc	ENSG00000175390.13	pc	many-to-many
ENSMUSG00000062782.4	pc	ENSG00000256574.7	pc	one-to-many
ENSMUSG00000031179.14	pc	ENSG00000124260.11	pc	many-to-many
ENSMUSG00000037263.13	pc	ENSG00000006534.15	pc	many-to-many
ENSMUSG00000074746.2	pc	ENSG00000165650.11	pc	one-to-one
ENSMUSG00000021983.16	pc	ENSG00000148671.13	pc	many-to-many
ENSMUSG00000050896.12	pc	ENSG00000186907.7	pc	one-to-one
ENSMUSG00000045098.18	pc	ENSG00000110066.14	pc	one-to-one
ENSMUSG00000034303.7	pc	ENSG00000149548.14	pc	one-to-many
ENSMUSG00000062758.6	other	ENSG00000270533.2	other	many-to-many
ENSMUSG00000021113.5	pc	ENSG00000258964.1	lncRNA	many-to-many
ENSMUSG00000030695.16	pc	ENSG00000149925.17	pc	one-to-many
ENSMUSG00000111594.1	other	ENSG00000088833.17	pc	many-to-many
ENSMUSG00000114270.1	lncRNA	ENSG00000278848.2	pc	many-to-many
ENSMUSG00000034690.13	pc	ENSG00000173572.11	pc	many-to-many
ENSMUSG00000066389.1	other	ENSG00000235225.1	other	one-to-many
ENSMUSG00000062421.13	pc	ENSG00000185829.17	pc	many-to-many
ENSMUSG00000054497.5	pc	ENSG00000256657.1	other	one-to-many
ENSMUSG00000002797.9	pc	ENSG00000225842.1	other	many-to-many
ENSMUSG00000031170.14	pc	ENSG00000017483.14	pc	one-to-one
ENSMUSG00000079109.11	pc	ENSG00000127957.17	other	many-to-many
ENSMUSG00000045078.12	pc	ENSG00000196204.11	other	many-to-many
ENSMUSG00000093178.1	ncRNA	ENSG00000245910.8	lncRNA	many-to-many
ENSMUSG00000105788.1	ncRNA	ENSG00000276168.1	ncRNA	many-to-many
ENSMUSG00000048087.6	pc	ENSG00000232992.2	other	many-to-many
ENSMUSG00000000154.16	pc	ENSG00000110628.13	pc	one-to-one
ENSMUSG00000059820.14	pc	ENSG00000150776.17	pc	one-to-many
ENSMUSG00000028478.18	pc	ENSG00000122705.16	pc	one-to-one
ENSMUSG00000080542.1	ncRNA	ENSG00000251741.1	ncRNA	many-to-many
ENSMUSG00000094491.2	other	ENSG00000253460.2	other	many-to-many
ENSMUSG00000005360.14	pc	ENSG00000079215.13	pc	one-to-one
ENSMUSG00000053624.3	pc	ENSG00000249244.1	other	one-to-many
ENSMUSG00000038084.16	pc	ENSG00000198836.8	pc	one-to-many
ENSMUSG00000110822.1	other	ENSG00000138434.16	pc	one-to-many
ENSMUSG00000097411.1	pc	ENSG00000251141.5	lncRNA	one-to-one
ENSMUSG00000058579.5	pc	ENSG00000215704.9	pc	many-to-many
ENSMUSG00000028991.15	pc	ENSG00000198793.12	pc	one-to-one
ENSMUSG00000081176.1	other	ENSG00000231712.1	other	many-to-many
ENSMUSG00000036480.9	pc	ENSG00000237412.6	pc	one-to-one
ENSMUSG00000095477.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000065453.1	ncRNA	ENSG00000199133.3	ncRNA	one-to-many
ENSMUSG00000050876.9	pc	ENSG00000214929.3	pc	many-to-many
ENSMUSG00000109342.1	other	ENSG00000119862.12	pc	one-to-many
ENSMUSG00000042557.14	pc	ENSG00000259270.1	other	one-to-many
ENSMUSG00000082398.1	other	ENSG00000213619.9	pc	one-to-many
ENSMUSG00000080859.1	other	ENSG00000233913.7	other	many-to-many
ENSMUSG00000077711.1	ncRNA	ENSG00000208308.1	ncRNA	many-to-many
ENSMUSG00000069476.13	pc	ENSG00000213973.8	pc	many-to-many
ENSMUSG00000109830.1	other	ENSG00000235616.1	other	many-to-many
ENSMUSG00000064044.2	pc	ENSG00000187080.9	pc	one-to-many
ENSMUSG00000080425.1	ncRNA	ENSG00000210181.1	ncRNA	one-to-many
ENSMUSG00000039046.15	pc	ENSG00000267104.2	lncRNA	many-to-many
ENSMUSG00000059031.3	pc	ENSG00000166408.4	other	many-to-many
ENSMUSG00000075020.6	lncRNA	ENSG00000283217.1	lncRNA	many-to-many
ENSMUSG00000085079.3	pc	ENSG00000243501.5	pc	many-to-many
ENSMUSG00000113178.1	other	ENSG00000168530.15	pc	one-to-many
ENSMUSG00000032786.16	pc	ENSG00000023330.14	pc	one-to-many
ENSMUSG00000095335.2	other	ENSG00000197794.2	other	many-to-many
ENSMUSG00000040875.12	pc	ENSG00000144645.13	pc	one-to-many
ENSMUSG00000113416.1	other	ENSG00000223547.9	pc	one-to-many
ENSMUSG00000092338.1	lncRNA	ENSG00000199036.1	ncRNA	one-to-many
ENSMUSG00000026721.15	pc	ENSG00000277408.1	other	many-to-many
ENSMUSG00000084212.1	other	ENSG00000220583.1	other	one-to-many
ENSMUSG00000077278.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000043484.3	other	ENSG00000220734.1	other	one-to-many
ENSMUSG00000083733.3	other	ENSG00000218175.2	other	one-to-many
ENSMUSG00000020644.9	pc	ENSG00000237456.3	other	many-to-many
ENSMUSG00000103103.1	lncRNA	ENSG00000199032.1	ncRNA	many-to-many
ENSMUSG00000024997.7	pc	ENSG00000229598.1	other	many-to-many
ENSMUSG00000037104.8	pc	ENSG00000235805.1	other	one-to-many
ENSMUSG00000029469.14	pc	ENSG00000122970.15	pc	one-to-many
ENSMUSG00000034674.18	pc	ENSG00000139372.14	pc	one-to-one
ENSMUSG00000028575.11	pc	ENSG00000120160.10	pc	many-to-many
ENSMUSG00000030257.16	pc	ENSG00000196220.15	pc	one-to-many
ENSMUSG00000001833.17	pc	ENSG00000244550.1	lncRNA	many-to-many
ENSMUSG00000115214.1	other	ENSG00000243988.1	other	one-to-many
ENSMUSG00000014633.15	pc	ENSG00000277755.1	other	one-to-many
ENSMUSG00000027411.17	pc	ENSG00000132670.20	pc	many-to-many
ENSMUSG00000074472.10	pc	ENSG00000196826.7	pc	many-to-many
ENSMUSG00000020434.4	pc	ENSG00000100036.12	pc	many-to-many
ENSMUSG00000038891.3	pc	ENSG00000172179.11	pc	one-to-many
ENSMUSG00000103502.1	lncRNA	ENSG00000243069.7	lncRNA	one-to-one
ENSMUSG00000089675.1	pc	ENSG00000242366.3	pc	many-to-many
ENSMUSG00000032307.16	pc	ENSG00000235583.2	other	many-to-many
ENSMUSG00000045336.5	pc	ENSG00000224169.1	other	many-to-many
ENSMUSG00000045559.6	pc	ENSG00000196534.5	other	one-to-many
ENSMUSG00000045467.13	pc	ENSG00000213471.10	pc	many-to-many
ENSMUSG00000037347.7	pc	ENSG00000147119.3	pc	one-to-one
ENSMUSG00000105911.1	ncRNA	ENSG00000201467.1	ncRNA	many-to-many
ENSMUSG00000002052.6	pc	ENSG00000109111.14	pc	one-to-one
ENSMUSG00000038383.16	pc	ENSG00000224437.2	other	one-to-many
ENSMUSG00000052554.3	pc	ENSG00000187082.2	pc	many-to-many
ENSMUSG00000040904.10	pc	ENSG00000161939.19	pc	many-to-many
ENSMUSG00000091117.1	other	ENSG00000232499.2	other	one-to-many
ENSMUSG00000054141.5	pc	ENSG00000267154.1	other	one-to-many
ENSMUSG00000020469.8	pc	ENSG00000215375.6	pc	one-to-many
ENSMUSG00000070692.6	other	ENSG00000240459.2	other	many-to-many
ENSMUSG00000006270.7	pc	ENSG00000148704.12	pc	one-to-one
ENSMUSG00000021993.10	pc	ENSG00000225358.1	other	many-to-many
ENSMUSG00000111168.1	other	ENSG00000123178.14	pc	one-to-many
ENSMUSG00000039046.15	pc	ENSG00000265041.1	other	many-to-many
ENSMUSG00000084020.3	other	ENSG00000176871.8	pc	one-to-many
ENSMUSG00000022548.14	pc	ENSG00000189058.8	pc	one-to-one
ENSMUSG00000099525.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000110573.1	pc	ENSG00000241224.7	pc	one-to-one
ENSMUSG00000068226.3	other	ENSG00000137074.18	pc	many-to-many
ENSMUSG00000051493.7	pc	ENSG00000196119.7	pc	one-to-many
ENSMUSG00000101362.1	other	ENSG00000183695.2	pc	one-to-many
ENSMUSG00000105829.1	other	ENSG00000230202.1	other	one-to-many
ENSMUSG00000051182.5	pc	ENSG00000232381.1	other	one-to-many
ENSMUSG00000020430.12	pc	ENSG00000100029.17	pc	one-to-one
ENSMUSG00000038765.13	pc	ENSG00000136944.17	pc	one-to-one
ENSMUSG00000029602.11	pc	ENSG00000111344.11	pc	one-to-one
ENSMUSG00000112606.1	other	ENSG00000241499.1	other	one-to-many
ENSMUSG00000058883.16	pc	ENSG00000272602.5	pc	many-to-many
ENSMUSG00000038930.11	pc	ENSG00000166965.12	pc	many-to-many
ENSMUSG00000034912.17	pc	ENSG00000139915.19	pc	one-to-many
ENSMUSG00000053604.5	pc	ENSG00000153574.8	pc	one-to-one
ENSMUSG00000049692.7	pc	ENSG00000241690.3	pc	many-to-many
ENSMUSG00000027157.10	pc	ENSG00000183206.17	pc	many-to-many
ENSMUSG00000076795.6	other	ENSG00000211780.3	other	many-to-many
ENSMUSG00000088493.1	ncRNA	ENSG00000212363.1	ncRNA	many-to-many
ENSMUSG00000089892.3	pc	ENSG00000279514.2	other	one-to-many
ENSMUSG00000094599.1	ncRNA	ENSG00000207460.1	ncRNA	one-to-many
ENSMUSG00000114473.1	pc	ENSG00000135047.14	pc	one-to-many
ENSMUSG00000009356.12	pc	ENSG00000167419.10	pc	one-to-one
ENSMUSG00000025134.2	pc	ENSG00000219039.2	other	many-to-many
ENSMUSG00000038984.4	pc	ENSG00000227989.1	other	one-to-many
ENSMUSG00000113768.1	other	ENSG00000115756.12	pc	many-to-many
ENSMUSG00000067942.5	pc	ENSG00000213793.5	pc	many-to-many
ENSMUSG00000083214.1	other	ENSG00000080824.18	pc	one-to-many
ENSMUSG00000028737.15	pc	ENSG00000255275.3	pc	many-to-many
ENSMUSG00000098241.1	other	ENSG00000237398.1	other	many-to-many
ENSMUSG00000028076.12	pc	ENSG00000158473.6	pc	many-to-many
ENSMUSG00000087884.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000111072.1	other	ENSG00000232702.3	other	one-to-many
ENSMUSG00000049001.5	pc	ENSG00000173376.13	pc	one-to-one
ENSMUSG00000095301.2	pc	ENSG00000166408.4	other	many-to-many
ENSMUSG00000059363.10	pc	ENSG00000165060.11	pc	one-to-one
ENSMUSG00000091151.1	pc	ENSG00000268908.1	other	many-to-many
ENSMUSG00000095432.9	pc	ENSG00000268892.1	other	many-to-many
ENSMUSG00000086583.3	other	ENSG00000224252.1	other	many-to-many
ENSMUSG00000112605.1	other	ENSG00000178464.6	other	many-to-many
ENSMUSG00000026969.3	pc	ENSG00000237297.1	other	one-to-many
ENSMUSG00000040314.2	pc	ENSG00000100448.3	pc	one-to-one
ENSMUSG00000083854.3	other	ENSG00000237141.1	other	many-to-many
ENSMUSG00000104953.1	ncRNA	ENSG00000103769.9	pc	many-to-many
ENSMUSG00000084280.1	other	ENSG00000239483.1	other	many-to-many
ENSMUSG00000050910.5	pc	ENSG00000109089.7	pc	one-to-one
ENSMUSG00000113260.1	other	ENSG00000223547.9	pc	one-to-many
ENSMUSG00000042826.13	pc	ENSG00000161958.10	pc	many-to-many
ENSMUSG00000080836.1	other	ENSG00000235547.3	other	many-to-many
