Gene ID	Symbol	Conservation (age)	Expression Capacity	Featured Expression	Featured Methylation	Variation (disease/trait-association)	Interaction	Small Protein
HSALNG0000879	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0098816	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0001214	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0001578	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0099576	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0001916	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0002269	-	12. Eutheria	HC	-	-	yes	yes	-
HSALNG0100373	-	17. Euteleostomi	HC	yes	yes	yes	yes	-
HSALNG0002630	-	14. Mammalia	NE	-	-	yes	-	yes
HSALNG0100763	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0003405	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0101637	-	13. Theria	MC	-	-	yes	-	-
HSALNG0102432	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0005685	-	11. Boreoeutheria	NE	-	yes	yes	-	-
HSALNG0104012	-	15. Amniota	HC	yes	-	yes	-	yes
HSALNG0006065	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0104372	-	11. Boreoeutheria	HC	yes	-	yes	yes	-
HSALNG0144343	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0105106	-	13. Theria	MC	-	-	yes	-	-
HSALNG0007917	-	14. Mammalia	HC	-	yes	yes	-	-
HSALNG0008318	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0107450	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0009532	-	13. Theria	MC	-	-	yes	-	-
HSALNG0107795	-	13. Theria	HC	yes	-	yes	-	yes
HSALNG0010307	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0108462	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0010683	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0144641	-	16. Tetrapoda	HC	-	yes	yes	-	-
HSALNG0011076	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0109556	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0011841	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0142475	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0012842	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0111039	-	1. Homo	HC	-	-	yes	-	-
HSALNG0013146	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0111404	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0146417	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0013876	-	5. Hominoidea	MC	-	-	yes	-	-
HSALNG0112182	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0014251	-	13. Theria	MC	-	-	yes	-	-
HSALNG0112569	-	13. Theria	MC	-	-	yes	-	-
HSALNG0146098	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0113998	-	1. Homo	MC	-	-	yes	-	-
HSALNG0016096	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0016528	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0018901	-	2. Hominini	HC	yes	-	yes	-	-
HSALNG0116968	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0019244	-	13. Theria	MC	-	-	yes	-	-
HSALNG0117336	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0117731	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0020016	-	12. Eutheria	MC	yes	-	yes	-	yes
HSALNG0020415	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0021562	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0119545	-	13. Theria	LC	-	-	yes	-	-
HSALNG0021960	-	13. Theria	MC	-	-	yes	-	-
HSALNG0022372	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0022820	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0120601	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0120992	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0023901	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0121747	-	14. Mammalia	NE	-	-	yes	-	-
HSALNG0122119	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0024645	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0123173	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0123522	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0123929	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0147834	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0124634	-	3. Homininae	HC	-	-	yes	-	-
HSALNG0145882	-	8. Haplorrhini	MC	-	-	yes	-	-
HSALNG0027745	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0125414	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0028562	-	13. Theria	NE	-	-	yes	-	-
HSALNG0028933	-	1. Homo	HC	yes	yes	yes	-	-
HSALNG0029343	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0147955	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0030964	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0128475	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0128876	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0129216	-	1. Homo	MC	-	-	yes	-	-
HSALNG0129565	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0032497	-	9. Primates	HC	-	-	yes	-	-
HSALNG0129934	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0032847	-	7. Simiiformes	MC	-	yes	yes	-	-
HSALNG0033205	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0131063	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0033965	-	13. Theria	MC	-	-	yes	-	-
HSALNG0131433	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0034368	-	1. Homo	HC	-	yes	yes	-	-
HSALNG0034759	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0148116	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0132743	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0035944	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0133090	-	7. Simiiformes	HC	yes	-	yes	-	-
HSALNG0036322	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0036732	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0037208	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0038374	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0135257	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0038746	-	13. Theria	MC	-	-	yes	-	-
HSALNG0135646	-	14. Mammalia	HC	yes	-	yes	-	yes
HSALNG0039111	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0039463	-	15. Amniota	NE	-	yes	yes	-	-
HSALNG0136319	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0040637	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0148848	-	13. Theria	HC	-	-	yes	-	yes
HSALNG0151113	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0043101	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0043998	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0044382	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0044777	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0045155	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0045519	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0148745	-	6. Catarrhini	HC	yes	-	yes	-	-
HSALNG0046653	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0048625	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0149382	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0049313	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0050852	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0051264	-	13. Theria	NE	-	yes	yes	-	-
HSALNG0052542	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0052936	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0053342	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0053742	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0149540	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0055496	-	2. Hominini	NE	-	-	yes	-	-
HSALNG0055878	-	11. Boreoeutheria	LC	-	yes	yes	-	-
HSALNG0056693	-	10. Euarchontoglires	MC	yes	-	yes	-	-
HSALNG0057035	-	13. Theria	MC	-	-	yes	-	-
HSALNG0057418	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0057793	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0058562	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0058921	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0059315	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0059738	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0149836	-	14. Mammalia	HC	yes	-	yes	yes	-
HSALNG0062498	-	17. Euteleostomi	HC	yes	yes	yes	-	-
HSALNG0062799	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0063144	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0063528	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0063905	-	13. Theria	HC	-	-	yes	-	-
HSALNG0065116	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0150231	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0066829	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0067240	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0067606	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0068050	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0068466	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0069210	-	1. Homo	MC	-	-	yes	-	-
HSALNG0069569	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0069989	-	7. Simiiformes	LC	-	-	yes	-	-
HSALNG0071148	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0071853	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0072244	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0072990	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0073340	-	13. Theria	MC	-	-	yes	-	-
HSALNG0074101	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0075479	-	17. Euteleostomi	HC	-	-	yes	-	-
HSALNG0075780	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0142508	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0076492	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0076883	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0142544	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0077622	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0078017	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0078423	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0079528	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0079928	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0080645	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0082447	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0143136	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0083934	-	15. Amniota	HC	-	yes	yes	-	-
HSALNG0084760	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0085499	-	1. Homo	HC	-	-	yes	-	-
HSALNG0086321	-	8. Haplorrhini	MC	-	-	yes	-	-
HSALNG0086764	-	13. Theria	HC	yes	-	yes	-	yes
HSALNG0088751	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0089135	-	15. Amniota	HC	-	-	yes	yes	-
HSALNG0091568	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0091989	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0092356	-	7. Simiiformes	LC	-	-	yes	-	-
HSALNG0094346	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0094694	-	4. Hominidae	MC	-	-	yes	-	-
HSALNG0095039	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0095348	-	2. Hominini	MC	yes	-	yes	-	-
HSALNG0095695	-	7. Simiiformes	HC	yes	-	yes	-	-
HSALNG0143818	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0144006	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0001215	-	11. Boreoeutheria	LC	-	yes	yes	-	-
HSALNG0001579	-	13. Theria	MC	-	-	yes	-	-
HSALNG0143918	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0001920	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0099959	-	16. Tetrapoda	MC	yes	-	yes	-	yes
HSALNG0002270	-	9. Primates	MC	-	-	yes	-	-
HSALNG0100374	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0002631	-	17. Euteleostomi	MC	yes	-	yes	-	-
HSALNG0101639	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0102054	-	15. Amniota	LC	-	-	yes	-	yes
HSALNG0004112	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0102435	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0141808	-	15. Amniota	LC	-	-	yes	-	-
HSALNG0103229	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0103632	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0005687	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0006066	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0104373	-	14. Mammalia	HC	yes	-	yes	yes	-
HSALNG0006464	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0142321	-	12. Eutheria	HC	-	yes	yes	-	yes
HSALNG0105100	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0007163	-	13. Theria	HC	-	-	yes	-	yes
HSALNG0007532	-	16. Tetrapoda	HC	yes	-	yes	-	yes
HSALNG0105911	-	17. Euteleostomi	MC	yes	-	yes	-	-
HSALNG0007918	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0106309	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0008705	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0107448	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0107797	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0009915	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0108142	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0108464	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0010686	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0011077	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0142034	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0109562	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0109902	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0110273	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0012508	-	17. Euteleostomi	MC	-	yes	yes	-	-
HSALNG0012843	-	17. Euteleostomi	HC	-	-	yes	-	-
HSALNG0111040	-	1. Homo	MC	-	yes	yes	-	-
HSALNG0013147	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0111406	-	13. Theria	NE	-	-	yes	-	-
HSALNG0013507	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0013877	-	14. Mammalia	HC	-	yes	yes	-	-
HSALNG0144779	-	17. Euteleostomi	LC	-	-	yes	-	-
HSALNG0014252	-	15. Amniota	MC	yes	-	yes	yes	yes
HSALNG0146469	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0113644	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0114398	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0016529	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0114764	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0016946	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0115160	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0017348	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0115559	-	13. Theria	HC	-	-	yes	-	-
HSALNG0116257	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0018520	-	13. Theria	MC	yes	yes	yes	-	-
HSALNG0117338	-	15. Amniota	MC	yes	yes	yes	-	-
HSALNG0020019	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0118134	-	14. Mammalia	HC	yes	yes	yes	-	-
HSALNG0118520	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0021164	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0146314	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0119546	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0119895	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0022821	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0120602	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0023209	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0120993	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0121389	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0121748	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0024286	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0024646	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0122474	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0025037	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0123930	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0124301	-	1. Homo	HC	-	-	yes	-	-
HSALNG0147552	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0124637	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0027748	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0145722	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0028178	-	13. Theria	MC	-	-	yes	-	-
HSALNG0028563	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0028935	-	1. Homo	MC	-	-	yes	-	-
HSALNG0126967	-	13. Theria	HC	-	-	yes	-	-
HSALNG0029715	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0145974	-	11. Boreoeutheria	MC	-	-	yes	-	yes
HSALNG0147674	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0128476	-	13. Theria	MC	-	-	yes	-	-
HSALNG0128879	-	13. Theria	MC	-	-	yes	-	yes
HSALNG0129566	-	13. Theria	LC	-	-	yes	-	-
HSALNG0032498	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0129939	-	13. Theria	MC	-	-	yes	-	-
HSALNG0032848	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0130706	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0131434	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0034760	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0148381	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0035597	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0132744	-	13. Theria	HC	-	-	yes	-	-
HSALNG0133091	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0036324	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0147199	-	9. Primates	MC	-	-	yes	-	-
HSALNG0036733	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0037207	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0134160	-	5. Hominoidea	HC	-	-	yes	-	-
HSALNG0037599	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0037978	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0135647	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0039113	-	13. Theria	MC	-	-	yes	-	-
HSALNG0136012	-	13. Theria	MC	-	-	yes	-	-
HSALNG0039466	-	1. Homo	NE	-	yes	yes	-	-
HSALNG0136320	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0040642	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0137438	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0041104	-	13. Theria	MC	-	-	yes	-	-
HSALNG0041526	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0138332	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0041965	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0042359	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0042682	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0043105	-	15. Amniota	MC	yes	yes	yes	-	-
HSALNG0043568	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0148683	-	13. Theria	MC	-	-	yes	-	-
HSALNG0044383	-	6. Catarrhini	LC	-	yes	yes	-	-
HSALNG0045912	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0046303	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0047322	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0049317	-	13. Theria	NE	-	-	yes	-	-
HSALNG0049698	-	15. Amniota	HC	-	yes	yes	-	-
HSALNG0050387	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0051267	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0053346	-	15. Amniota	MC	-	-	yes	-	yes
HSALNG0054850	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0057040	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0057795	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0058173	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0149955	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0058922	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0059317	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0059739	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0060938	-	13. Theria	MC	-	-	yes	-	-
HSALNG0062499	-	8. Haplorrhini	MC	yes	yes	yes	-	-
HSALNG0062802	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0063906	-	13. Theria	LC	-	-	yes	-	-
HSALNG0064669	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0150200	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0065905	-	17. Euteleostomi	MC	yes	-	yes	-	-
HSALNG0066357	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0066830	-	13. Theria	MC	-	-	yes	-	-
HSALNG0067245	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0068054	-	16. Tetrapoda	MC	-	yes	yes	-	yes
HSALNG0068468	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0068856	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0069211	-	1. Homo	MC	-	yes	yes	-	-
HSALNG0069566	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0069991	-	14. Mammalia	MC	yes	yes	yes	-	-
HSALNG0070783	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0072245	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0072652	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0072991	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0073343	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0074102	-	11. Boreoeutheria	MC	yes	yes	yes	-	-
HSALNG0074815	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0075480	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0076137	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0076494	-	16. Tetrapoda	HC	yes	-	yes	yes	-
HSALNG0077279	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0077623	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0078018	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0078426	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0079132	-	10. Euarchontoglires	HC	yes	-	yes	-	-
HSALNG0079929	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0080292	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0080646	-	13. Theria	HC	-	yes	yes	-	-
HSALNG0081018	-	15. Amniota	MC	yes	yes	yes	-	-
HSALNG0081357	-	1. Homo	HC	-	-	yes	-	-
HSALNG0081671	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0082448	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0083935	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0143183	-	9. Primates	MC	-	yes	yes	-	-
HSALNG0084761	-	13. Theria	NE	-	-	yes	-	yes
HSALNG0085503	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0085919	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0086322	-	13. Theria	NE	-	-	yes	-	-
HSALNG0086765	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0087638	-	15. Amniota	NE	-	-	yes	-	-
HSALNG0089949	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0090750	-	7. Simiiformes	HC	yes	-	yes	-	-
HSALNG0092803	-	6. Catarrhini	LC	-	-	yes	-	-
HSALNG0093217	-	16. Tetrapoda	LC	-	-	yes	-	yes
HSALNG0143716	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0093975	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0094695	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0143767	-	1. Homo	MC	-	-	yes	-	-
HSALNG0095349	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0097565	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0097988	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0098820	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0001216	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0144027	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0099577	-	16. Tetrapoda	MC	-	-	yes	-	yes
HSALNG0001922	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0144061	-	13. Theria	MC	-	-	yes	-	-
HSALNG0101236	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0003409	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0101641	-	17. Euteleostomi	HC	yes	-	yes	-	-
HSALNG0102437	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0102835	-	13. Theria	MC	-	-	yes	-	-
HSALNG0004886	-	16. Tetrapoda	LC	-	-	yes	-	yes
HSALNG0103230	-	14. Mammalia	MC	-	-	yes	yes	-
HSALNG0103633	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0005688	-	13. Theria	NE	-	-	yes	-	-
HSALNG0006465	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0142346	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0007533	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0106310	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0008321	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0106671	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0107454	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0009917	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0108143	-	13. Theria	MC	-	-	yes	-	-
HSALNG0011846	-	9. Primates	MC	-	-	yes	-	-
HSALNG0110274	-	16. Tetrapoda	NE	-	yes	yes	-	-
